fullName,phone,residence,email,service,foodQuality,beverageQuality,atmosphere,valueForMoney,cleanliness,staffFriendliness,experience,interests,visitedBefore,visitFrequency,source,otherSource,timestamp,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Sahil Khan,9511522615,Ahmedabad,sahil875@gmail.com,1,1,1,2,1,2,2,"Not satisfied, won't visit again","Fostering, Adopting, Donating",No,4,Instagram,,"02/20/2026, 3:39:28 AM",,,,,,,,
Pooja Reddy,9087735560,Kolkata,pooja356@gmail.com,4,5,4,4,5,4,5,Perfect ambience and service,"Donating, Fostering",No,1,Instagram,,"02/21/2026, 1:35:09 AM",,,,,,,,
Ishita Gupta,9658300205,Indore,ishita699@gmail.com,5,4,5,5,5,4,5,Fantastic food and great staff,"Fostering, Volunteering, Donating",No,1,Other,Event,"02/21/2026, 10:24:40 AM",,,,,,,,
Simran Kaur,9387537530,Ahmedabad,simran866@gmail.com,1,2,1,1,1,2,1,Food quality was poor,"Fostering, Volunteering",Yes,4,Other,Event,"02/21/2026, 9:33:25 PM",,,,,,,,
Arjun Kapoor,9676930165,Kochi,arjun238@gmail.com,1,1,1,2,2,2,1,"Not satisfied, won't visit again",Adopting,Yes,5,Other,Ads,"02/22/2026, 9:37:16 AM",,,,,,,,
Simran Kaur,9372493317,Nagpur,simran38@gmail.com,4,3,3,2,3,3,3,Good but can improve,Volunteering,No,2,Other,nan,"02/22/2026, 8:11:32 PM",,,,,,,,
Vikram Desai,9701713938,Nagpur,vikram624@gmail.com,2,2,2,1,1,1,2,"Not satisfied, won't visit again","Adopting, Donating, Fostering",No,3,Word of Mouth,,"02/23/2026, 9:33:59 AM",,,,,,,,
Tanvi Kulkarni,9553096521,Hyderabad,tanvi919@gmail.com,4,5,4,4,4,4,4,Fantastic food and great staff,"Fostering, Donating, Volunteering",No,4,Word of Mouth,,"02/23/2026, 7:50:46 PM",,,,,,,,
Vikram Desai,9090786558,Delhi,vikram29@gmail.com,4,4,5,5,5,5,4,"Absolutely loved it, will come again",Volunteering,No,5,Other,Ads,"02/24/2026, 1:10:53 AM",,,,,,,,
Ananya Iyer,9489407937,Chandigarh,ananya856@gmail.com,2,2,2,1,2,1,2,Cleanliness was unacceptable,"Fostering, Adopting",Yes,2,Other,Event,"02/24/2026, 2:45:08 AM",,,,,,,,
Karan Patel,9709473073,Indore,karan726@gmail.com,2,1,2,2,1,1,1,"Not satisfied, won't visit again","Volunteering, Adopting",No,2,Google,,"02/24/2026, 11:35:05 AM",,,,,,,,
Sneha Joshi,9001085731,Chandigarh,sneha353@gmail.com,5,4,4,5,5,5,4,Perfect ambience and service,Fostering,Yes,2,Google,,"02/24/2026, 4:26:42 PM",,,,,,,,
Rahul Singh,9787076856,Chandigarh,rahul560@gmail.com,5,5,4,5,4,5,4,"Amazing experience, loved everything",Donating,Yes,5,Other,Ads,"02/25/2026, 12:49:17 AM",,,,,,,,
Riya Sharma,9688794894,Noida,riya191@gmail.com,4,4,4,4,4,4,5,Top quality in every aspect,"Fostering, Adopting, Donating, Volunteering",Yes,4,Other,Event,"02/25/2026, 10:29:20 AM",,,,,,,,
Aarav Mehta,9034063263,Indore,aarav995@gmail.com,5,4,5,4,4,5,5,Perfect ambience and service,Fostering,Yes,1,Other,Ads,"02/26/2026, 11:48:13 AM",,,,,,,,
Pooja Reddy,9646820107,Chandigarh,pooja360@gmail.com,4,5,5,4,4,4,4,"Absolutely loved it, will come again",Donating,No,3,Other,nan,"02/26/2026, 3:02:34 PM",,,,,,,,
Aditya Roy,9927930535,Kochi,aditya914@gmail.com,3,2,3,4,4,2,3,Service was okay,"Adopting, Fostering, Volunteering, Donating",No,5,Instagram,,"02/27/2026, 3:51:57 AM",,,,,,,,
Ishita Gupta,9546069854,Delhi,ishita780@gmail.com,4,5,5,4,5,4,5,Fantastic food and great staff,Donating,Yes,5,Word of Mouth,,"02/27/2026, 7:16:58 AM",,,,,,,,
Meera Pillai,9398086889,Mumbai,meera558@gmail.com,4,4,4,4,4,4,4,Fantastic food and great staff,"Adopting, Donating",No,5,Google,,"02/27/2026, 10:36:59 AM",,,,,,,,
Sahil Khan,9838877081,Delhi,sahil908@gmail.com,4,3,3,3,2,4,4,Average experience overall,"Fostering, Adopting, Volunteering",No,2,Google,,"02/27/2026, 6:45:57 PM",,,,,,,,
Ananya Iyer,9762802085,Indore,ananya189@gmail.com,4,3,2,3,2,4,3,Good but can improve,"Adopting, Volunteering, Donating, Fostering",Yes,1,Other,Event,"02/28/2026, 2:20:20 AM",,,,,,,,
Pooja Reddy,9528658998,Nagpur,pooja942@gmail.com,1,1,2,2,1,2,1,Cleanliness was unacceptable,Volunteering,Yes,4,Other,Ads,"02/28/2026, 11:16:26 AM",,,,,,,,
Pooja Reddy,9197715041,Bangalore,pooja659@gmail.com,2,2,4,4,3,2,3,Good but can improve,Fostering,No,2,Other,Event,"02/28/2026, 3:41:48 PM",,,,,,,,
Priya Nair,9571093380,Indore,priya306@gmail.com,4,3,4,2,4,2,4,Good but can improve,"Adopting, Volunteering, Donating, Fostering",No,4,Other,nan,"02/28/2026, 8:30:21 PM",,,,,,,,
Arjun Kapoor,9324081389,Chennai,arjun114@gmail.com,4,5,4,4,5,5,4,Top quality in every aspect,"Fostering, Adopting, Volunteering",No,5,Instagram,,"02/28/2026, 10:00:00 PM",,,,,,,,
Ananya Iyer,9411874510,Indore,ananya867@gmail.com,4,2,3,2,4,3,4,Average experience overall,"Volunteering, Donating",No,3,Other,Walk-in,"03/01/2026, 6:41:13 AM",,,,,,,,
Ananya Iyer,9001960723,Ahmedabad,ananya366@gmail.com,4,4,4,4,4,4,4,Fantastic food and great staff,Fostering,Yes,3,Other,Event,"03/01/2026, 12:13:10 PM",,,,,,,,
Neha Verma,9073972837,Delhi,neha855@gmail.com,4,4,4,5,5,4,5,Top quality in every aspect,"Donating, Adopting, Volunteering, Fostering",No,3,Instagram,,"03/01/2026, 1:00:55 PM",,,,,,,,
Dev Shah,9835219706,Surat,dev700@gmail.com,4,5,5,5,4,5,4,"Amazing experience, loved everything",Donating,Yes,4,Other,Walk-in,"03/01/2026, 4:59:53 PM",,,,,,,,
Riya Sharma,9588407526,Surat,riya77@gmail.com,2,2,2,1,2,2,2,Food quality was poor,"Fostering, Donating, Adopting",No,2,Other,nan,"03/02/2026, 12:07:30 PM",,,,,,,,
Ananya Iyer,9627875041,Kochi,ananya511@gmail.com,2,1,1,2,2,2,1,Terrible experience overall,"Fostering, Volunteering, Donating, Adopting",Yes,4,Word of Mouth,,"03/02/2026, 11:07:37 PM",,,,,,,,
Priya Nair,9106404480,Mumbai,priya612@gmail.com,5,4,4,5,5,4,4,"Amazing experience, loved everything","Volunteering, Donating",No,4,Instagram,,"03/03/2026, 10:53:57 AM",,,,,,,,
Manav Bansal,9904394260,Kochi,manav552@gmail.com,4,4,4,2,2,4,2,Average experience overall,"Donating, Fostering, Adopting, Volunteering",No,1,Other,Walk-in,"03/03/2026, 8:18:28 PM",,,,,,,,
Arjun Kapoor,9652821579,Chennai,arjun898@gmail.com,2,3,4,2,4,4,4,Good but can improve,"Adopting, Donating, Volunteering, Fostering",Yes,1,Other,Walk-in,"03/04/2026, 2:06:56 AM",,,,,,,,
Rohit Jain,9635790166,Chennai,rohit753@gmail.com,2,4,2,4,2,2,2,Food was fine,"Fostering, Donating, Adopting, Volunteering",Yes,1,Other,Event,"03/04/2026, 3:46:55 AM",,,,,,,,
Vikram Desai,9577846006,Jaipur,vikram774@gmail.com,3,3,3,4,2,4,3,Average experience overall,Fostering,Yes,3,Other,Ads,"03/05/2026, 4:15:35 AM",,,,,,,,
Manav Bansal,9957466718,Chennai,manav861@gmail.com,2,4,3,2,3,3,3,"Decent place, nothing special","Adopting, Volunteering, Donating",No,2,Other,Ads,"03/05/2026, 7:03:56 AM",,,,,,,,
Sneha Joshi,9614677281,Hyderabad,sneha480@gmail.com,1,1,2,1,2,2,2,"Not satisfied, won't visit again",Donating,Yes,3,Word of Mouth,,"03/06/2026, 12:37:41 AM",,,,,,,,
Sneha Joshi,9589075838,Bangalore,sneha483@gmail.com,4,4,4,5,5,5,4,Perfect ambience and service,"Fostering, Donating, Adopting",Yes,5,Word of Mouth,,"03/06/2026, 2:12:42 AM",,,,,,,,
Arjun Kapoor,9814764899,Indore,arjun353@gmail.com,4,4,3,3,2,4,3,"Decent place, nothing special","Volunteering, Adopting, Donating, Fostering",No,4,Instagram,,"03/06/2026, 7:32:55 AM",,,,,,,,
Ananya Iyer,9038962016,Bangalore,ananya718@gmail.com,2,2,2,1,1,1,2,Food quality was poor,"Donating, Adopting",Yes,4,Word of Mouth,,"03/07/2026, 12:02:24 AM",,,,,,,,
Sahil Khan,9924299856,Hyderabad,sahil702@gmail.com,1,2,1,1,1,2,1,Terrible experience overall,"Adopting, Fostering, Donating",Yes,3,Word of Mouth,,"03/07/2026, 6:43:27 AM",,,,,,,,
Simran Kaur,9704240882,Ahmedabad,simran924@gmail.com,4,4,4,4,4,4,4,Perfect ambience and service,"Donating, Adopting, Volunteering",No,5,Instagram,,"03/07/2026, 1:42:36 PM",,,,,,,,
Riya Sharma,9479334390,Noida,riya291@gmail.com,4,5,5,5,4,4,4,Perfect ambience and service,"Adopting, Volunteering, Donating, Fostering",No,4,Word of Mouth,,"03/08/2026, 3:47:46 AM",,,,,,,,
Ananya Iyer,9262368871,Ahmedabad,ananya48@gmail.com,2,2,2,1,2,1,1,Terrible experience overall,"Donating, Adopting, Fostering, Volunteering",No,3,Google,,"03/09/2026, 11:48:21 AM",,,,,,,,
Karan Patel,9587624025,Jaipur,karan571@gmail.com,4,4,2,2,3,3,4,"Decent place, nothing special","Donating, Adopting, Volunteering",Yes,2,Instagram,,"03/09/2026, 9:38:44 PM",,,,,,,,
Meera Pillai,9308385427,Jaipur,meera373@gmail.com,1,1,1,2,1,1,1,Very bad service and rude staff,"Volunteering, Donating, Fostering",Yes,4,Word of Mouth,,"03/10/2026, 12:09:54 PM",,,,,,,,
Aditya Roy,9389292650,Nagpur,aditya444@gmail.com,2,4,2,4,2,4,4,"Decent place, nothing special","Adopting, Volunteering, Fostering",Yes,2,Word of Mouth,,"03/10/2026, 4:57:21 PM",,,,,,,,
Tanvi Kulkarni,9332709718,Indore,tanvi211@gmail.com,5,5,4,5,5,4,5,Perfect ambience and service,"Volunteering, Adopting, Fostering, Donating",Yes,3,Other,Event,"03/11/2026, 1:00:52 AM",,,,,,,,
Rahul Singh,9419958732,Bangalore,rahul127@gmail.com,1,1,1,1,2,1,2,Cleanliness was unacceptable,"Donating, Adopting",No,2,Other,Event,"03/11/2026, 2:19:49 AM",,,,,,,,
Aarav Mehta,9134300734,Kochi,aarav119@gmail.com,2,2,2,3,2,4,2,Service was okay,Adopting,Yes,1,Other,Ads,"03/11/2026, 11:11:38 AM",,,,,,,,
Riya Sharma,9092755418,Chennai,riya369@gmail.com,2,2,2,1,2,1,2,"Not satisfied, won't visit again","Fostering, Volunteering",Yes,2,Word of Mouth,,"03/11/2026, 3:44:44 PM",,,,,,,,
Tanvi Kulkarni,9958323835,Chennai,tanvi688@gmail.com,4,5,4,4,4,4,4,Perfect ambience and service,"Volunteering, Donating",No,5,Word of Mouth,,"03/11/2026, 10:25:32 PM",,,,,,,,
Simran Kaur,9662235640,Noida,simran887@gmail.com,4,4,2,3,3,4,3,Average experience overall,"Volunteering, Donating",Yes,3,Word of Mouth,,"03/13/2026, 5:52:06 AM",,,,,,,,
Manav Bansal,9369785724,Chennai,manav725@gmail.com,1,1,1,1,2,1,1,Terrible experience overall,Donating,Yes,3,Instagram,,"03/13/2026, 6:22:04 AM",,,,,,,,
Meera Pillai,9683446642,Chandigarh,meera32@gmail.com,3,3,3,2,2,4,2,"Decent place, nothing special","Donating, Volunteering, Adopting, Fostering",Yes,3,Other,Ads,"03/13/2026, 6:34:45 PM",,,,,,,,
Rohit Jain,9368540415,Chennai,rohit445@gmail.com,4,4,5,4,5,5,5,"Amazing experience, loved everything","Donating, Volunteering, Adopting, Fostering",No,5,Google,,"03/14/2026, 1:32:00 AM",,,,,,,,
Priya Nair,9634061243,Noida,priya977@gmail.com,5,5,4,5,5,5,4,"Amazing experience, loved everything",Volunteering,Yes,5,Other,nan,"03/14/2026, 6:03:12 PM",,,,,,,,
Rohit Jain,9305122761,Chennai,rohit80@gmail.com,1,2,2,2,1,1,2,Very bad service and rude staff,"Fostering, Volunteering",Yes,3,Instagram,,"03/15/2026, 8:28:49 AM",,,,,,,,
Karan Patel,9002745617,Kolkata,karan990@gmail.com,3,3,2,3,2,2,4,Service was okay,"Donating, Volunteering, Adopting",Yes,4,Word of Mouth,,"03/15/2026, 12:41:39 PM",,,,,,,,
Priya Nair,9766146861,Bangalore,priya841@gmail.com,2,1,1,2,1,2,1,Terrible experience overall,"Fostering, Adopting, Donating, Volunteering",Yes,5,Other,nan,"03/15/2026, 5:22:24 PM",,,,,,,,
Rahul Singh,9921450258,Surat,rahul501@gmail.com,2,2,3,3,2,4,2,"Decent place, nothing special","Adopting, Donating",Yes,2,Other,Ads,"03/15/2026, 10:33:30 PM",,,,,,,,
Ishita Gupta,9399562281,Noida,ishita908@gmail.com,4,3,2,2,2,3,4,"Decent place, nothing special","Volunteering, Fostering, Donating",No,4,Other,Ads,"03/16/2026, 11:08:20 PM",,,,,,,,
Sneha Joshi,9002408532,Hyderabad,sneha842@gmail.com,5,5,4,5,4,5,5,Top quality in every aspect,"Adopting, Volunteering, Fostering, Donating",No,3,Word of Mouth,,"03/17/2026, 5:54:36 AM",,,,,,,,
Meera Pillai,9107946819,Pune,meera352@gmail.com,3,3,4,2,4,3,4,Good but can improve,Volunteering,Yes,1,Other,Event,"03/18/2026, 11:12:25 AM",,,,,,,,
Priya Nair,9894658679,Pune,priya623@gmail.com,4,5,4,4,4,5,5,"Absolutely loved it, will come again","Fostering, Adopting",Yes,5,Other,nan,"03/20/2026, 1:43:55 AM",,,,,,,,
Priya Nair,9580882829,Indore,priya251@gmail.com,4,3,4,3,2,2,2,Food was fine,"Adopting, Donating",No,5,Other,Ads,"03/20/2026, 4:18:09 AM",,,,,,,,
Aditya Roy,9848451995,Bangalore,aditya186@gmail.com,5,4,5,5,5,5,5,"Absolutely loved it, will come again","Donating, Volunteering, Adopting",No,5,Other,Event,"03/20/2026, 7:10:48 AM",,,,,,,,
Tanvi Kulkarni,9426285816,Delhi,tanvi148@gmail.com,2,1,2,1,2,2,2,Food quality was poor,Adopting,Yes,5,Google,,"03/20/2026, 7:49:18 PM",,,,,,,,
Priya Nair,9460115695,Chandigarh,priya211@gmail.com,2,1,1,2,2,1,2,Cleanliness was unacceptable,Fostering,Yes,1,Google,,"03/21/2026, 12:44:18 PM",,,,,,,,
Arjun Kapoor,9237392029,Delhi,arjun453@gmail.com,5,4,4,4,4,5,4,Fantastic food and great staff,"Donating, Volunteering, Fostering, Adopting",No,5,Google,,"03/21/2026, 4:18:04 PM",,,,,,,,
Dev Shah,9553623200,Nagpur,dev393@gmail.com,5,5,5,4,5,5,4,"Absolutely loved it, will come again",Fostering,Yes,4,Other,nan,"03/21/2026, 7:34:47 PM",,,,,,,,
Sahil Khan,9669033136,Delhi,sahil514@gmail.com,1,1,2,1,1,1,2,Very bad service and rude staff,Fostering,No,5,Other,Walk-in,"03/21/2026, 8:06:35 PM",,,,,,,,
Aarav Mehta,9054621423,Surat,aarav664@gmail.com,4,4,4,5,4,5,5,Perfect ambience and service,Volunteering,No,1,Other,Ads,"03/21/2026, 8:37:23 PM",,,,,,,,
Aarav Mehta,9768612590,Delhi,aarav6@gmail.com,5,4,4,4,5,4,5,Top quality in every aspect,Volunteering,No,3,Other,Event,"03/22/2026, 5:19:26 AM",,,,,,,,
Karan Patel,9425047366,Chandigarh,karan81@gmail.com,4,4,5,4,4,5,4,"Amazing experience, loved everything","Fostering, Adopting, Volunteering, Donating",Yes,3,Google,,"03/23/2026, 6:02:38 PM",,,,,,,,
Simran Kaur,9591070206,Bangalore,simran739@gmail.com,5,4,4,5,4,4,5,Top quality in every aspect,"Adopting, Fostering, Volunteering",Yes,2,Other,nan,"03/24/2026, 1:04:54 AM",,,,,,,,
Arjun Kapoor,9790455305,Chandigarh,arjun991@gmail.com,4,5,5,4,4,5,5,"Amazing experience, loved everything","Fostering, Volunteering",Yes,5,Google,,"03/24/2026, 1:23:09 PM",,,,,,,,
Karan Patel,9232119931,Noida,karan44@gmail.com,1,1,1,1,1,2,2,Very bad service and rude staff,Adopting,Yes,1,Other,nan,"03/24/2026, 2:09:47 PM",,,,,,,,
Ananya Iyer,9902707657,Surat,ananya340@gmail.com,5,4,4,5,4,5,4,"Amazing experience, loved everything",Adopting,Yes,4,Other,Walk-in,"03/24/2026, 3:04:22 PM",,,,,,,,
Simran Kaur,9269308514,Pune,simran341@gmail.com,5,4,5,5,5,4,5,Top quality in every aspect,Volunteering,Yes,5,Instagram,,"03/24/2026, 4:01:36 PM",,,,,,,,
Aditya Roy,9643708977,Kochi,aditya559@gmail.com,3,3,3,2,4,2,4,Average experience overall,"Fostering, Volunteering, Donating",Yes,5,Google,,"03/24/2026, 5:55:25 PM",,,,,,,,
Simran Kaur,9850229589,Indore,simran359@gmail.com,5,4,5,5,5,5,4,Top quality in every aspect,"Donating, Volunteering, Fostering",Yes,2,Instagram,,"03/25/2026, 2:29:32 AM",,,,,,,,
Karan Patel,9439987119,Jaipur,karan313@gmail.com,4,4,5,4,4,4,5,Fantastic food and great staff,"Donating, Volunteering, Fostering",Yes,3,Google,,"03/25/2026, 4:45:41 AM",,,,,,,,
Manav Bansal,9249295801,Hyderabad,manav302@gmail.com,5,4,5,4,4,4,5,"Absolutely loved it, will come again","Fostering, Volunteering",Yes,3,Other,Walk-in,"03/25/2026, 4:39:28 PM",,,,,,,,
Sneha Joshi,9452999240,Kochi,sneha508@gmail.com,3,2,3,3,2,2,4,"Decent place, nothing special",Donating,Yes,2,Other,nan,"03/26/2026, 1:25:48 AM",,,,,,,,
Simran Kaur,9584581435,Noida,simran875@gmail.com,1,1,2,1,1,2,2,Terrible experience overall,Fostering,Yes,1,Google,,"03/26/2026, 4:27:56 AM",,,,,,,,
Ishita Gupta,9212755677,Bangalore,ishita1@gmail.com,5,4,4,5,4,4,5,Fantastic food and great staff,Volunteering,No,2,Other,Ads,"03/26/2026, 7:14:56 AM",,,,,,,,
Tanvi Kulkarni,9586784040,Bangalore,tanvi89@gmail.com,5,4,4,4,5,5,4,"Amazing experience, loved everything","Adopting, Volunteering, Fostering, Donating",Yes,2,Other,Walk-in,"03/26/2026, 4:09:57 PM",,,,,,,,
Sneha Joshi,9773596636,Chandigarh,sneha304@gmail.com,4,5,4,4,4,5,5,Top quality in every aspect,"Adopting, Fostering",No,2,Other,Ads,"03/27/2026, 4:53:39 AM",,,,,,,,
Dev Shah,9300313808,Noida,dev669@gmail.com,3,2,3,2,3,4,2,Good but can improve,Volunteering,No,5,Other,nan,"03/28/2026, 4:41:42 AM",,,,,,,,
Meera Pillai,9487443648,Nagpur,meera680@gmail.com,1,1,1,1,2,1,1,"Not satisfied, won't visit again","Donating, Volunteering",No,5,Instagram,,"03/28/2026, 7:47:43 AM",,,,,,,,
Ananya Iyer,9775965451,Mumbai,ananya875@gmail.com,4,3,3,2,4,2,2,Average experience overall,"Adopting, Donating, Volunteering, Fostering",No,1,Google,,"03/28/2026, 12:51:25 PM",,,,,,,,
Ishita Gupta,9303249112,Hyderabad,ishita132@gmail.com,3,3,4,3,2,4,4,"Decent place, nothing special","Adopting, Fostering",No,5,Other,Walk-in,"03/28/2026, 2:13:21 PM",,,,,,,,
Simran Kaur,9238618740,Noida,simran264@gmail.com,1,2,1,1,2,1,1,"Not satisfied, won't visit again","Adopting, Donating",Yes,4,Word of Mouth,,"03/28/2026, 10:20:05 PM",,,,,,,,
Arjun Kapoor,9698131734,Ahmedabad,arjun815@gmail.com,4,4,4,5,4,4,5,Top quality in every aspect,"Fostering, Volunteering, Adopting",Yes,4,Google,,"03/29/2026, 7:16:08 AM",,,,,,,,
Rohit Jain,9236780039,Pune,rohit672@gmail.com,4,4,5,5,4,4,5,"Absolutely loved it, will come again","Volunteering, Fostering",No,5,Other,nan,"03/30/2026, 8:57:50 AM",,,,,,,,
Meera Pillai,9514974680,Indore,meera263@gmail.com,5,4,4,4,4,4,5,"Amazing experience, loved everything","Donating, Volunteering, Adopting",Yes,2,Instagram,,"03/30/2026, 2:13:25 PM",,,,,,,,
Ananya Iyer,9101786542,Bangalore,ananya373@gmail.com,5,4,5,4,5,4,5,Top quality in every aspect,"Donating, Volunteering, Fostering, Adopting",Yes,4,Other,Event,"03/30/2026, 4:42:24 PM",,,,,,,,
Pooja Reddy,9324003461,Jaipur,pooja29@gmail.com,4,3,2,2,4,2,4,Good but can improve,Fostering,No,1,Word of Mouth,,"03/30/2026, 6:10:35 PM",,,,,,,,
Riya Sharma,9792607954,Chandigarh,riya318@gmail.com,2,2,2,2,1,2,2,Terrible experience overall,"Donating, Volunteering, Fostering",Yes,1,Other,Walk-in,"03/31/2026, 4:50:09 AM",,,,,,,,
Meera Pillai,9758010157,Surat,meera721@gmail.com,5,5,4,4,5,5,5,Perfect ambience and service,Adopting,Yes,1,Other,Walk-in,"03/31/2026, 6:55:37 PM",,,,,,,,
Sneha Joshi,9181472993,Mumbai,sneha270@gmail.com,5,5,5,4,4,4,5,Top quality in every aspect,"Volunteering, Fostering",No,4,Google,,"04/01/2026, 4:23:26 AM",,,,,,,,
Priya Nair,9286291958,Jaipur,priya96@gmail.com,3,3,4,3,3,2,4,Good but can improve,Fostering,No,2,Other,Walk-in,"04/02/2026, 6:58:54 AM",,,,,,,,
Priya Nair,9158613953,Hyderabad,priya270@gmail.com,1,1,1,2,1,2,2,Terrible experience overall,"Adopting, Fostering, Donating",Yes,5,Google,,"04/02/2026, 9:19:14 AM",,,,,,,,
Sahil Khan,9067096857,Bangalore,sahil858@gmail.com,5,5,4,5,5,5,4,Perfect ambience and service,"Donating, Volunteering, Adopting",Yes,2,Other,Ads,"04/02/2026, 1:35:03 PM",,,,,,,,
Ananya Iyer,9171111133,Surat,ananya711@gmail.com,3,4,3,2,4,4,3,Food was fine,Donating,Yes,3,Other,Event,"04/02/2026, 2:23:59 PM",,,,,,,,
Meera Pillai,9794522237,Mumbai,meera376@gmail.com,1,1,1,2,1,1,1,Terrible experience overall,"Adopting, Fostering, Donating, Volunteering",Yes,2,Other,Event,"04/02/2026, 9:47:33 PM",,,,,,,,
Sneha Joshi,9681227355,Mumbai,sneha852@gmail.com,4,4,4,4,4,5,5,Perfect ambience and service,"Volunteering, Fostering, Adopting, Donating",No,3,Other,Walk-in,"04/03/2026, 11:46:40 AM",,,,,,,,
Meera Pillai,9483123442,Jaipur,meera828@gmail.com,3,4,3,2,2,2,4,Good but can improve,"Donating, Volunteering, Fostering",No,2,Other,Event,"04/04/2026, 4:53:10 AM",,,,,,,,
Manav Bansal,9406153328,Bangalore,manav162@gmail.com,1,2,2,2,1,1,1,"Not satisfied, won't visit again","Volunteering, Adopting, Donating",No,4,Other,nan,"04/04/2026, 5:07:07 AM",,,,,,,,
Ananya Iyer,9112192679,Nagpur,ananya544@gmail.com,2,2,2,2,4,2,3,Service was okay,"Fostering, Donating",No,1,Instagram,,"04/06/2026, 12:43:18 AM",,,,,,,,
Vikram Desai,9909273384,Pune,vikram435@gmail.com,3,4,4,2,2,3,4,Service was okay,"Volunteering, Donating, Fostering, Adopting",Yes,5,Other,Ads,"04/06/2026, 8:24:17 PM",,,,,,,,
Ishita Gupta,9581357432,Nagpur,ishita596@gmail.com,4,3,4,4,2,3,4,Good but can improve,"Volunteering, Adopting",No,4,Other,nan,"04/07/2026, 12:02:20 AM",,,,,,,,
Vikram Desai,9989169220,Noida,vikram985@gmail.com,4,4,5,4,5,4,5,"Absolutely loved it, will come again","Fostering, Adopting",Yes,2,Other,nan,"04/09/2026, 12:38:31 AM",,,,,,,,
Ananya Iyer,9580113054,Kolkata,ananya456@gmail.com,2,2,1,1,2,2,1,Terrible experience overall,Adopting,No,1,Other,Walk-in,"04/09/2026, 1:24:27 AM",,,,,,,,
Priya Nair,9549633954,Jaipur,priya171@gmail.com,2,2,1,2,2,2,1,Terrible experience overall,"Adopting, Donating, Volunteering",No,1,Other,Event,"04/09/2026, 7:42:20 AM",,,,,,,,
Dev Shah,9818750151,Ahmedabad,dev874@gmail.com,4,4,5,4,4,5,4,"Amazing experience, loved everything",Adopting,No,2,Other,Ads,"04/10/2026, 1:13:39 AM",,,,,,,,
Sahil Khan,9771124681,Bangalore,sahil25@gmail.com,4,5,5,4,4,5,4,Fantastic food and great staff,"Volunteering, Fostering, Adopting, Donating",Yes,1,Word of Mouth,,"04/10/2026, 2:31:37 AM",,,,,,,,
Priya Nair,9395556066,Ahmedabad,priya187@gmail.com,5,5,4,4,4,4,5,"Amazing experience, loved everything","Adopting, Fostering, Donating, Volunteering",No,1,Other,Walk-in,"04/11/2026, 5:33:51 PM",,,,,,,,
Neha Verma,9388530331,Bangalore,neha617@gmail.com,5,4,5,5,5,4,5,Perfect ambience and service,"Volunteering, Donating, Adopting, Fostering",Yes,4,Word of Mouth,,"04/12/2026, 4:31:00 PM",,,,,,,,
Dev Shah,9278069804,Surat,dev277@gmail.com,3,3,2,3,4,4,2,Good but can improve,Volunteering,Yes,3,Google,,"04/13/2026, 7:27:08 AM",,,,,,,,
Vikram Desai,9314403006,Mumbai,vikram811@gmail.com,3,2,3,2,2,4,4,"Decent place, nothing special","Adopting, Donating, Fostering",Yes,2,Other,Event,"04/13/2026, 8:45:44 AM",,,,,,,,
Tanvi Kulkarni,9631215888,Indore,tanvi775@gmail.com,1,1,2,2,2,1,1,"Not satisfied, won't visit again","Adopting, Volunteering, Fostering",Yes,2,Word of Mouth,,"04/13/2026, 9:20:57 AM",,,,,,,,
Pooja Reddy,9929157549,Bangalore,pooja354@gmail.com,2,2,2,2,4,2,2,Food was fine,"Fostering, Donating",No,5,Other,nan,"04/13/2026, 9:41:41 AM",,,,,,,,
Sahil Khan,9002481373,Chennai,sahil888@gmail.com,2,2,2,2,2,2,2,"Decent place, nothing special",Donating,Yes,4,Word of Mouth,,"04/13/2026, 7:16:14 PM",,,,,,,,
Neha Verma,9946230991,Kolkata,neha637@gmail.com,1,2,2,2,1,1,1,Cleanliness was unacceptable,"Donating, Volunteering",Yes,3,Google,,"04/13/2026, 11:49:25 PM",,,,,,,,
Manav Bansal,9960918480,Ahmedabad,manav742@gmail.com,2,2,2,1,2,1,1,"Not satisfied, won't visit again","Donating, Adopting, Volunteering, Fostering",No,1,Other,Walk-in,"04/14/2026, 1:31:50 AM",,,,,,,,
Ananya Iyer,9384617878,Noida,ananya416@gmail.com,2,1,1,1,1,2,1,Cleanliness was unacceptable,"Volunteering, Adopting, Donating",Yes,1,Google,,"04/14/2026, 2:27:05 AM",,,,,,,,
Pooja Reddy,9331600576,Pune,pooja380@gmail.com,5,4,5,5,5,4,4,"Amazing experience, loved everything","Donating, Adopting, Volunteering, Fostering",No,4,Other,Walk-in,"04/15/2026, 5:21:12 PM",,,,,,,,
Sneha Joshi,9836749046,Chandigarh,sneha191@gmail.com,3,3,3,2,4,2,2,Service was okay,Adopting,No,4,Other,Ads,"04/16/2026, 6:25:43 AM",,,,,,,,
Neha Verma,9669486248,Hyderabad,neha496@gmail.com,4,3,3,3,2,4,4,"Decent place, nothing special","Adopting, Fostering, Donating, Volunteering",Yes,3,Other,nan,"04/16/2026, 3:12:51 PM",,,,,,,,
